Date,SPY,QQQ,GLD,TLT
2025-10-09,0.06884107637955705,0.0918685001252922,0.1462566221579345,0.1028299574836434
2025-10-10,0.1068689216236748,0.14006274338376476,0.14680720341747666,0.1106064181618689
2025-10-13,0.11360531630621529,0.14699169452618346,0.15637663266643276,0.10774595618988081
2025-10-14,0.11099367801727199,0.14603019473283968,0.14707572135624458,0.10420508973160254
2025-10-15,0.11070905225637052,0.14576270885483913,0.15103499623468228,0.10142834642053516
2025-10-16,0.110925382029754,0.14501832412138246,0.1564242110147077,0.10136622780014445
2025-10-17,0.1112904123477873,0.1457638327661453,0.17129460806173025,0.09317352224579595
2025-10-20,0.11453528652682873,0.1489312580293728,0.1928225071188075,0.086162078067334
2025-10-21,0.11454694252234338,0.1490352045907321,0.2805034378082369,0.08469997925470509
2025-10-22,0.11588610199512278,0.15264902370556727,0.2807524416381822,0.08359208605268037
2025-10-23,0.11476455925464749,0.15347000898765556,0.2802531413199406,0.08475623497049603
2025-10-24,0.1166496124345672,0.15554023194037775,0.281058079404057,0.08350482856823488
2025-10-27,0.12013843788896299,0.16125340713112388,0.29511252831810175,0.08374109066337691
2025-10-28,0.11991840292915938,0.16180379364030098,0.29652855577446063,0.08382687575171442
2025-10-29,0.11968471236450821,0.161377143587389,0.29556707503566537,0.08910038266268162
2025-10-30,0.12461165964660446,0.16818745623493522,0.298864992595352,0.08522701290483162
2025-10-31,0.1242438013668055,0.16777924157989205,0.29913829432619604,0.08556224020376166
2025-11-03,0.12376139825651859,0.16756368054853163,0.29601209320047467,0.08515390426244064
2025-11-04,0.12791612379295084,0.1778107913154498,0.30150747205627626,0.08316298131048219
2025-11-05,0.12764495312145857,0.17786813274389482,0.30105334940822587,0.08869313107297908
2025-11-06,0.13110458258584531,0.18659204073103644,0.30117505627960917,0.09223726730042643
2025-11-07,0.13022512466381708,0.18675181928725607,0.30121268107744376,0.09246994120278983
2025-11-10,0.1372929200968535,0.19647542928864015,0.3072673967030355,0.08954494330606878
2025-11-11,0.13709304640175676,0.19678208782402132,0.3067771565384117,0.08990175355752651
2025-11-12,0.13688294284876293,0.19656856254410696,0.30932024195997687,0.0897677363671917
2025-11-13,0.14582624571084715,0.20587830306743696,0.3104282945332131,0.09284667031948593
2025-11-14,0.14582862372132008,0.2054507205179035,0.3157146092298881,0.09419522910723523
2025-11-17,0.147985629242748,0.20588578159236723,0.3137600316045656,0.09141077095881597
2025-11-18,0.14955273810156344,0.20833981796964457,0.31407050831912087,0.08994326644801415
2025-11-19,0.14889752293388606,0.2062255660098233,0.3106024594293047,0.09012259812958003
2025-11-20,0.15481989050357786,0.21684773724429846,0.3054278148328603,0.09080336819437526
2025-11-21,0.1366035563943775,0.19360188488379412,0.3042862623470748,0.0777469567275232
2025-11-24,0.13601718898821688,0.1980857348063284,0.2995223216779207,0.07964609717525287
2025-11-25,0.1384363229289922,0.19768490126366253,0.29883423866421105,0.07943669166527394
2025-11-26,0.13920069016556327,0.1982502327985203,0.29536449335438036,0.08023170359894845
2025-11-28,0.13794108551841164,0.19890617132765243,0.28940589592019883,0.07827541917370133
2025-12-01,0.13822444006654003,0.19862863473015177,0.2845192107833345,0.08582024641455958
2025-12-02,0.13526695313357373,0.19663556134685947,0.263497987787708,0.08483811271181842
2025-12-03,0.1355183983361934,0.19668412561535828,0.1836049093672267,0.0838295817393851
2025-12-04,0.13437740525921782,0.1943020509559024,0.1835911299903079,0.08472557853748187
2025-12-05,0.13355941358973977,0.19327438987694973,0.18351382400423802,0.08364169947120942
2025-12-08,0.1320589447520978,0.19115932651546666,0.18338746667727077,0.08379888063018624
2025-12-09,0.12753936951784667,0.18398576831216953,0.16241221105959558,0.08297890998454882
2025-12-10,0.12879396868191648,0.18295592784284503,0.1602595511744302,0.08355018972846516
2025-12-11,0.12895785640027468,0.18259553699823508,0.16105755251910295,0.0791013218446375
2025-12-12,0.12877534930421852,0.18560787951053992,0.1531861345972068,0.08192043128498137
2025-12-15,0.1285041275392205,0.1852996348117104,0.15151598835319613,0.08182156309087783
2025-12-16,0.12860306779011912,0.1847256131714748,0.15164407219674841,0.08366357772041184
2025-12-17,0.12795500552386385,0.18319305056950871,0.1402819046124929,0.08324606100492338
2025-12-18,0.12949925808032547,0.18743421826923234,0.1387651137324879,0.07879400737200797
2025-12-19,0.1279757379209277,0.1835405685641423,0.13833988614800308,0.07447984010749673
2025-12-22,0.12899828806994978,0.1836647259251134,0.14999937073581354,0.07448966875592991
2025-12-23,0.12176482996418855,0.17254044973173696,0.13536778769844443,0.07475181379815347
2025-12-24,0.12197842408273189,0.1725397929109008,0.13689958807889122,0.07574313144430765
2025-12-26,0.12198999080805027,0.17251554460713184,0.13370233318212799,0.07586519339171792
2025-12-29,0.11155719470111071,0.16188008396985828,0.18709908144954482,0.07336638399181744
2025-12-30,0.11168664031097272,0.1621275683069734,0.17781363309100773,0.07182906291355944
2025-12-31,0.11030425394722237,0.1619938225048815,0.17508603014118448,0.07485904371294881
2026-01-02,0.10671677390194706,0.15759319768349758,0.17463540250763182,0.07491586379332006
2026-01-05,0.10761215317930754,0.1582342969871767,0.18815453112136898,0.07639768917866785
2026-01-06,0.09611399156740218,0.14114976151903103,0.18924143919517233,0.07549405720137899
2026-01-07,0.09428224400346158,0.14026738154640472,0.19243025302462685,0.07705550513472824
2026-01-08,0.08580351908097551,0.12267045915457517,0.18875841779009306,0.07595466325055932
2026-01-09,0.0838226517619127,0.12456359511926873,0.18897693711731997,0.07837869563997517
2026-01-12,0.08198593440912513,0.12234639665318135,0.19395184506540328,0.07716913129074214
2026-01-13,0.08119842230515356,0.12048825638230853,0.1924484296580681,0.07660470005235087
2026-01-14,0.08139827342363917,0.12430678576292513,0.19356095565928322,0.07014040132581437
2026-01-15,0.08155349496066432,0.12264630390157508,0.19343012406849025,0.07012780976007815
2026-01-16,0.08120768711437214,0.12246064306564636,0.19445069395941025,0.07148516767417756
2026-01-20,0.10119763884781127,0.13702184589994088,0.21900014368372767,0.07928632571413842
2026-01-21,0.10665919902390965,0.14251986668337407,0.22027048312482353,0.08177385139657987
2026-01-22,0.10723826748031978,0.1441541910133376,0.22263672629216258,0.08225054769624326
2026-01-23,0.10717357917368563,0.14441710141128006,0.22394061161373427,0.08257228699537636
2026-01-26,0.10648338631170534,0.1444955686607007,0.22537598933776856,0.08297207678053876
2026-01-27,0.10685581185754532,0.14650949559503107,0.23133733007549678,0.08492086067072396
2026-01-28,0.10149976224665745,0.1345022066440161,0.24948674179709682,0.08021376296690286
2026-01-29,0.10160184081004509,0.1349141786127677,0.24912158585389926,0.08020261161250675
2026-01-30,0.10167924258811632,0.14010944815256302,0.4055009973856261,0.08031191413475562
2026-02-02,0.09600826304032889,0.12880350351573905,0.42499267035126237,0.08067075019932013
2026-02-03,0.09811973373327823,0.13162041104136582,0.4599150867964649,0.07968633203710596
2026-02-04,0.09614517011269566,0.1359552532155129,0.46007253796666986,0.07931134574055496
2026-02-05,0.1012681456549809,0.14070892089232367,0.4653700152338385,0.08533127663930003
2026-02-06,0.11530269000316282,0.15410771659760394,0.47141164029619753,0.08524043310171858
2026-02-09,0.11569455910284504,0.15565963219512743,0.474931388764789,0.08338599437769983
2026-02-10,0.11598457484522125,0.1561199085694951,0.47627126425505867,0.08925329358909899
2026-02-11,0.11546758081613384,0.15587628030128062,0.45483640168052153,0.09018823875662119
2026-02-12,0.12405863166304733,0.16623667888705013,0.46960454298959464,0.09751659784569373
2026-02-13,0.12220496300138403,0.16499980317972893,0.47198743152217104,0.09493562207968417
2026-02-17,0.12217832366810412,0.1649581431272849,0.48388534159565566,0.0946245356375272
2026-02-18,0.12149992144167782,0.164749790622378,0.48250604282012355,0.09501738732904638
2026-02-19,0.12036553049915648,0.16253838924667832,0.48212173448990847,0.0945956340666209
2026-02-20,0.12198292309191894,0.16496857575074372,0.48242745747579746,0.09394684800992312
2026-02-23,0.12553874844074875,0.16768604031858517,0.4866386563256236,0.09268286071935844
2026-02-24,0.12586687228239518,0.1681438457816236,0.48989031756877227,0.0911915799531175
2026-02-25,0.1283011769432089,0.17396952153498477,0.48858452277290176,0.09050005866599373
2026-02-26,0.12917768227833304,0.17716097343065146,0.48842800367116135,0.09090312230469738
2026-02-27,0.12914205480776833,0.17486714826355523,0.48879038573183253,0.09103636174585603
2026-03-02,0.12887190753511604,0.1745148291700171,0.4882338678267571,0.09653057115635208
2026-03-03,0.13123912109156805,0.1769176549454851,0.5086360312025099,0.09492442705775522
2026-03-04,0.11867626286811739,0.1721985382986314,0.4986412430268326,0.08617311917878888
2026-03-05,0.1150209137173405,0.167698199925478,0.49924797866356757,0.08524831679879309
2026-03-06,0.11971965431434103,0.1713218945158642,0.49855861281452657,0.08554394545126127
2026-03-09,0.12285204985218771,0.17600494728020696,0.49744202574583196,0.08856864352035404
2026-03-10,0.12173470967041812,0.17534748734414704,0.4967698057945491,0.09360149827376688
2026-03-11,0.12091666401159146,0.1728147155384194,0.492048795500086,0.0994339474858717
2026-03-12,0.12775711993347763,0.17826878069620392,0.4815694615952251,0.09937322550492456
2026-03-13,0.12834466884273654,0.17825725478631577,0.48252590255010663,0.10040274887077465
2026-03-16,0.13264364643193535,0.17949870657809078,0.3763192774951492,0.10156018652952097
2026-03-17,0.13188554592701368,0.17882282128035754,0.3555345479688274,0.101351525161462
2026-03-18,0.13544051399149928,0.177886020346985,0.31897825652478984,0.10267153967262853
2026-03-19,0.13508233234715064,0.17117168823336232,0.3401003667349341,0.10370943434725567
2026-03-20,0.1365132598871019,0.17440209281171387,0.34276474910447446,0.11339163508921017
2026-03-23,0.12717149009483955,0.1658892015427468,0.33323569756091964,0.11517061968776292
2026-03-24,0.12577156135634127,0.16454499474415432,0.32187787387283145,0.11577925671197571
2026-03-25,0.12758829898647214,0.16594515411789165,0.3366896142802584,0.11419782444268978
2026-03-26,0.13587866436916837,0.17792948689703642,0.3479253957596736,0.11567285437732774
2026-03-27,0.13730788537131078,0.1772288576517414,0.35470473774400335,0.10864928890981632
2026-03-30,0.13704879478996365,0.17747593637910394,0.34514664756838537,0.11503254450814196
2026-03-31,0.1644005215330874,0.20628146528474048,0.3547987612412178,0.11475868661525218
2026-04-01,0.1654170805549136,0.20854732088088898,0.35219900067213067,0.11446876638962694
2026-04-02,0.16550468943503163,0.20847536240319184,0.35574173261645375,0.11619565462405572
2026-04-06,0.16454144914262384,0.20748255902959606,0.3497462538186071,0.11613065233654095
2026-04-07,0.16244757961076445,0.20478448532058882,0.34039984563872755,0.11538023977172966
2026-04-08,0.17829892028302244,0.220698519065356,0.3400238080531114,0.11574905925031674
2026-04-09,0.17731388515775784,0.21741181936584583,0.3413821530154165,0.11581092954280539
2026-04-10,0.17666581186243743,0.21452278430813937,0.33981237987385776,0.11492031107409639
2026-04-13,0.17849938664538903,0.21622504072708212,0.33648191851367193,0.11356855904747368
2026-04-14,0.18187516873473394,0.222084257578023,0.34150136010681875,0.11195282530721508
2026-04-15,0.18084708028983418,0.222077033351733,0.31890169891997416,0.11238877987389236
2026-04-16,0.18002074130412327,0.21873187165802618,0.3176084107150963,0.11333910787416453
2026-04-17,0.18172859019609655,0.2206729119403781,0.3192241705232957,0.11660197050435352
2026-04-20,0.1767337249117992,0.21520157401484513,0.3156794510496626,0.11620150166936147
2026-04-21,0.17714359295337043,0.21352432011331382,0.32470058230846843,0.11382865199106544
2026-04-22,0.17867244584111355,0.2175780487223088,0.3254993607239632,0.11020813758081774
2026-04-23,0.1792222156980687,0.21876698938960712,0.32609363522013535,0.10385260444287067
2026-04-24,0.1726519606525003,0.21575463755331817,0.3230668378934509,0.10383935828380247
2026-04-27,0.17095046188591265,0.2140661628049808,0.32192972669449893,0.10384561330525176
2026-04-28,0.17080104336049015,0.21659237107965232,0.3254012328350909,0.10132002319955255
2026-04-29,0.17093205326685412,0.2167065464448346,0.3262165120619554,0.10324639726683818
2026-04-30,0.1653521118637343,0.21112679427353012,0.3185111159169248,0.10212971197311267
2026-05-01,0.16456692664239875,0.2106125933829913,0.29533875684946653,0.10099987447442431
2026-05-04,0.15750342391947073,0.20017086164883563,0.2873598608877927,0.08732054939037083
2026-05-05,0.15670046239220856,0.20064008698890287,0.2799191611244082,0.08671457874846189
2026-05-06,0.15824569131968605,0.20242025024045376,0.2922454823258484,0.08850946429954348
2026-05-07,0.15944551940631455,0.2034557403499186,0.2801258128760286,0.08517787761640395
2026-05-08,0.14625477889850738,0.18948513417247032,0.25469130928434924,0.08277938467804632
2026-05-11,0.13146358382660872,0.17230157722962927,0.23554132769021258,0.08314543328633456
2026-05-12,0.13053907139731216,0.1729788216987125,0.23604625442159063,0.07567083153667675
2026-05-13,0.10927807736935483,0.1549247892037717,0.21009117668887267,0.07583420460777661
2026-05-14,0.10937151211408302,0.15415121001626922,0.2045620850276539,0.07601082527852651
2026-05-15,0.11901616294281799,0.1662336829117255,0.20801114841055227,0.08422404521982013
2026-05-18,0.11977512520377573,0.1691479410216039,0.20803216929147197,0.08421008216465996
2026-05-19,0.12324523127409251,0.1720541764183885,0.21058152601017285,0.08558073801889805
2026-05-20,0.10654398254230948,0.16003369164725076,0.21442879811754229,0.09155846692554877
2026-05-21,0.10628376702988486,0.160315394758178,0.2127193632913135,0.09244815620131017
2026-05-22,0.10575181822148885,0.1599313100794194,0.21344361005505816,0.09407619232849065
2026-05-26,0.10442157005659423,0.16332212474256635,0.21341728225892473,0.09488758257764725
2026-05-27,0.1010857380333124,0.16003748404204085,0.2034532483351068,0.09369712095218455
2026-05-28,0.10023811121113022,0.1581251446533545,0.20564102106092635,0.09443558418487012
2026-05-29,0.10023794878609149,0.15816038110697708,0.2088576010118914,0.09267948960162962
2026-06-01,0.09606826108921898,0.15625640076822092,0.2068243916610549,0.0885023756182723
2026-06-02,0.09527695237163197,0.154526551881767,0.20638036004982324,0.08878828150669911
2026-06-03,0.0956666472170752,0.153986960880893,0.1926238995186246,0.08810607681692557
2026-06-04,0.09289072500357151,0.15221743197553886,0.18982875309674674,0.08816612189683369
2026-06-05,0.12226282312116155,0.21318041168321136,0.21393009250293585,0.08915338227963963
2026-06-08,0.12080128027328227,0.21106554573119074,0.21324938368472474,0.08999476663142396
2026-06-09,0.1213753944834632,0.21494491422738574,0.21640960888584054,0.09086944447993704
2026-06-10,0.1297976330988325,0.22168187272118658,0.23956973831789982,0.09110637719350748
2026-06-11,0.13810372057415107,0.24001167689062405,0.2593043454625112,0.09604321050306312
2026-06-12,0.13622998364054612,0.2394053034640473,0.2542059676878798,0.0963217305674485
2026-06-15,0.1443896462012622,0.2528486932073451,0.26758258498746806,0.09585703648499934
2026-06-16,0.1452666433125665,0.26071368587520316,0.26236376683268725,0.09410559512830129
2026-06-17,0.14938023188450564,0.26148702860035333,0.267773080395841,0.09301089126398968
2026-06-18,0.1470432105282081,0.2644325584648747,0.24923961554794516,0.09151588201802337
2026-06-22,0.14706144356035528,0.2646077447697506,0.24890921057164062,0.0931543811094525
2026-06-23,0.1516462440072709,0.27545510924374117,0.2513114224689462,0.09213876444059156
2026-06-24,0.15148819103282923,0.2756469874978699,0.261195247827748,0.09809012845270582
2026-06-25,0.15149844728972636,0.2753735246526731,0.26489712092048573,0.09556145299696865
2026-06-26,0.15190898308728368,0.2767566279256162,0.26912668609605317,0.0950984317491621
2026-06-29,0.15793226620241532,0.2854706859293743,0.2702451414690696,0.09509531100041589
2026-06-30,0.15544386026447146,0.28550657107731864,0.2647256806204375,0.0909554856077922
2026-07-01,0.155497926432224,0.28916680459701216,0.2656256108688703,0.09363453940613664
2026-07-02,0.15413900624451676,0.2933857351740397,0.2717861791585872,0.0909827262652269
